Lợi nhuận Huawei tăng mạnh,https://vnexpress.net/loi-nhuan-huawei-tang-manh-4728340.html,Gã khổng lồ công nghệ Trung Quốc Huawei Technologies ghi nhận lợi nhuận năm 2023 hơn gấp đôi năm trước.,29/03/2024
Chứng khoán ngắt mạch tăng,https://vnexpress.net/chung-khoan-ngat-mach-tang-4728242.html,"Sau ba phiên tích lũy, VN-Index điều chỉnh điểm số dưới áp lực từ nhóm vốn hóa lớn, nhất là các mã chứng khoản, ngân hàng và bất động sản.",29/03/2024
Liên danh Vinhomes và công ty liên kết của REE trúng thầu xây trụ sở các cơ quan Khánh Hòa,https://vnexpress.net/lien-danh-vinhomes-va-cong-ty-lien-ket-cua-ree-trung-thau-xay-tru-so-cac-co-quan-khanh-hoa-4728185.html,Liên danh Công ty Vinhomes và Cơ điện Đoàn Nhất trúng thầu xây dự án trụ sở làm việc cơ quan tỉnh trị giá hơn 400 tỷ đồng.,29/03/2024
Tăng trưởng kinh tế TP HCM quý I cao nhất 5 năm,https://vnexpress.net/tang-truong-kinh-te-tp-hcm-quy-i-cao-nhat-5-nam-4728036.html,"GRDP quý I của TP HCM ước tăng 6,54%, đạt mục tiêu đề ra và là tốc độ cao nhất kể từ 2020.",29/03/2024
Nghiên cứu phát hành trái phiếu Chính phủ hỗ trợ nhà ở xã hội,https://vnexpress.net/nghien-cuu-phat-hanh-trai-phieu-chinh-phu-ho-tro-nha-o-xa-hoi-4728162.html,"Thủ tướng giao Bộ Xây dựng nghiên cứu, đề xuất phương án phát hành trái phiếu Chính phủ, hỗ trợ lãi suất cho đầu tư, xây dựng nhà ở xã hội.",29/03/2024
Nhà giàu Mỹ nắm số tài sản lớn chưa từng có,https://vnexpress.net/nha-giau-my-nam-so-tai-san-lon-chua-tung-co-4727961.html,"Nhờ thị trường chứng khoán tăng điểm, tài sản của nhóm 1% giàu nhất Mỹ lần đầu vượt 44.000 tỷ USD.",29/03/2024
Tân Hoàng Minh nói dần vượt khó khăn,https://vnexpress.net/tan-hoang-minh-noi-dan-vuot-kho-khan-4728063.html,Tân Hoàng Minh cho biết hoạt động bước đầu khởi sắc và sẽ đẩy nhanh tiến độ tại các dự án đang thi công dở dang để đảm bảo quyền lợi khách hàng.,29/03/2024
Giá vàng nhẫn tăng vọt,https://vnexpress.net/gia-vang-nhan-tang-vot-4728082.html,"Mỗi lượng vàng nhẫn sáng nay tăng mạnh 800.000 đồng, lập đỉnh mới hơn 71 triệu đồng, trong khi vàng miếng SJC lặng sóng.",29/03/2024
Giá vàng lại lên 81 triệu đồng,https://vnexpress.net/gia-vang-moi-nhat-hom-nay-4727754.html,"Giá vàng miếng hôm nay tăng hơn 300.000 đồng so cuối chiều qua, quay lại mốc 81 triệu đồng một lượng.",28/03/2024
Chủ tịch Tập đoàn Hoa Lâm rời ghế lãnh đạo VietBank,https://vnexpress.net/chu-tich-tap-doan-hoa-lam-roi-ghe-lanh-dao-vietbank-4727731.html,Bà Trần Thị Lâm - Chủ tịch Tập đoàn Hoa Lâm và là cổ đông sáng lập của VietBank - có đơn từ nhiệm vị trí Phó tổng giám đốc nhà băng theo nguyện vọng cá nhân.,28/03/2024
Khách đến chợ truyền thống TP HCM giảm một nửa,https://vnexpress.net/khach-den-cho-truyen-thong-tp-hcm-giam-mot-nua-4727594.html,"So với thời điểm trước dịch Covid-19, lượng khách đến chợ truyền thống hiện đã giảm 30-50%, theo Sở Công Thương TP HCM.",28/03/2024
Khối ngoại bán ròng MSN hơn 1.000 tỷ đồng,https://vnexpress.net/khoi-ngoai-ban-rong-msn-hon-1-000-ty-dong-4727350.html,"Khối ngoại tiếp tục bán ròng trong phiên 27/3, với quy mô gần 2.000 tỷ đồng, nâng chuỗi bán ròng lên 12 phiên liên tiếp.",27/03/2024
Giá vàng miếng lên sát 81 triệu,https://vnexpress.net/gia-vang-mieng-len-sat-81-trieu-4727342.html,"Mỗi lượng vàng miếng hôm nay tăng hơn nửa triệu đồng, lên gần 81 triệu, trong khi vàng nhẫn và nữ trang chững giá.",27/03/2024
Chính sách bảo vệ người mua của Shopee bị chê là 'bỏ rơi người bán',https://vnexpress.net/chinh-sach-bao-ve-nguoi-mua-cua-shopee-bi-che-la-bo-roi-nguoi-ban-4727115.html,"Cho khách trả hàng đến 15 ngày sau khi nhận, Shopee đồng thời nâng thời gian trả tiền cho người bán có khi hơn nửa tháng, gây ra nhiều tranh cãi.",27/03/2024
Boeing lún sâu vào khủng hoảng,https://vnexpress.net/boeing-lun-sau-vao-khung-hoang-4727133.html,"CEO David Calhoun được đưa về để giải quyết vấn đề của Boeing, nhưng ông đã rời đi, để lại công việc còn khó khăn hơn cho người kế nhiệm.",27/03/2024
